"CP/LA/15","LA",15,"T/LA/204",1,"Family member","3/3/1598",3/3/1598 00:00:00,"Privy Council","AF/LA/62",,,0,"LEM",25/6/2001 10:40:12,"LEM",25/6/2001 10:41:37
"CP/LA/16","LA",16,"T/LA/205",1,"Family member","3/3/1598",3/3/1598 00:00:00,"Privy Council","AF/LA/63",,,0,"LEM",25/6/2001 10:43:50,"LEM",25/6/2001 10:45:48
"CP/LA/17","LA",17,"T/LA/206",1,"Other","21/5/1601",21/5/1601 00:00:00,"Privy Council",,"LA/191",,0,"LEM",25/6/2001 12:22:44,"LEM",25/6/2001 12:25:10
"CP/LA/18","LA",18,"T/LA/48",1,"Suspect's","27/7/1605",27/7/1605 00:00:00,"Privy Council",,,,0,"LEM",25/6/2001 13:06:46,"LEM",25/6/2001 13:07:03
"CP/LA/19","LA",19,"T/LA/208",1,"Family member","20/7/1609",20/7/1609 00:00:00,"Privy Council","AF/LA/65",,,0,"LEM",25/6/2001 14:54:56,"LEM",25/6/2001 14:55:41
"CP/LA/2","LA",2,"T/LA/83",1,"Unknown","1/1629",1/1/1629 00:00:00,"Privy Council",,,,0,"LEM",12/6/2001 13:11:00,"LEM",12/6/2001 13:11:44
"CP/LA/20","LA",20,"T/LA/326",1,"Other","7/11/1661",7/11/1661 00:00:00,"Privy Council",,"LA/298","Investigator",0,"LEM",3/7/2001 15:45:02,"LEM",3/7/2001 15:47:45
"CP/LA/21","LA",21,"T/LA/302",1,"Suspect's","18/9/1661",18/9/1661 00:00:00,"Privy Council",,,,0,"LEM",5/7/2001 10:49:05,"LEM",5/7/2001 10:49:55
"CP/LA/22","LA",22,"T/LA/325",1,"Suspect's","18/9/1661",18/9/1661 00:00:00,,,,,0,"LEM",17/7/2001 15:19:28,"LEM",17/7/2001 15:19:50
"CP/LA/23","LA",23,"T/LA/325",1,"Family member",,,,,,,0,"LEM",17/7/2001 15:32:30,"LEM",17/7/2001 15:32:39
"CP/LA/24","LA",24,"T/LA/489",1,"Suspect's","10/7/1628",10/7/1628 00:00:00,"Privy Council",,,,0,"LEM",19/7/2001 09:34:35,"LEM",19/7/2001 09:34:47
"CP/LA/25","LA",25,"T/LA/509",1,"Suspect's","11/11/1628",11/11/1628 00:00:00,"Privy Council",,,,0,"LEM",19/7/2001 12:46:52,"LEM",19/7/2001 12:47:02
"CP/LA/26","LA",26,"T/LA/509",1,"Suspect's","11/11/1628",11/11/1628 00:00:00,"Privy Council",,,,0,"LEM",19/7/2001 12:49:54,"LEM",19/7/2001 12:50:33
"CP/LA/3","LA",3,"T/LA/10",1,"Family member","4/9/1629",4/9/1629 00:00:00,"Privy Council","AF/LA/11",,,0,"LEM",12/6/2001 15:21:16,"LEM",12/6/2001 15:22:06
"CP/LA/35","LA",35,"T/LA/618",1,"Suspect's","16/3/1630",16/3/1630 00:00:00,"Privy Council",,,,0,"LEM",15/8/2001 12:40:48,"LEM",15/8/2001 12:41:01
"CP/LA/36","LA",36,"T/LA/618",1,"Suspect's","26/5/1630",26/5/1630 00:00:00,"Privy Council",,,,0,"LEM",15/8/2001 12:51:01,"LEM",15/8/2001 12:56:52
"CP/LA/37","LA",37,"T/LA/618",1,"Suspect's","11/11/1630",11/11/1630 00:00:00,"Privy Council",,,,0,"LEM",15/8/2001 13:17:57,"jhm",1/10/2002 10:33:36
"CP/LA/38","LA",38,"T/LA/628",1,"Suspect's","21/4/1630",21/4/1630 00:00:00,"Privy Council",,,,0,"LEM",16/8/2001 12:48:50,"LEM",16/8/2001 12:49:02
"CP/LA/39","LA",39,"T/LA/642",1,"Suspect's","17/3/1629",17/3/1629 00:00:00,"Privy Council",,,,0,"LEM",16/8/2001 13:47:14,"LEM",16/8/2001 13:47:37
"CP/LA/4","LA",4,"T/LA/99",1,"Suspect's","5/7/1631",5/7/1631 00:00:00,"Privy Council",,,,0,"LEM",14/6/2001 15:49:42,"LEM",14/6/2001 15:50:00
"CP/LA/40","LA",40,"T/LA/643",1,"Suspect's","17/3/1629",17/3/1629 00:00:00,"Privy Council",,,,0,"LEM",16/8/2001 14:05:01,"LEM",16/8/2001 14:05:09
"CP/LA/41","LA",41,"T/LA/626",1,"Family member","5/2/1629",5/2/1629 00:00:00,"Privy Council","AF/LA/200",,,0,"LEM",17/8/2001 09:19:45,"LEM",17/8/2001 09:20:10
"CP/LA/42","LA",42,"T/LA/674",1,"Suspect's","22/12/1629",22/12/1629 00:00:00,"Privy Council",,,,0,"LEM",17/8/2001 10:01:26,"LEM",17/8/2001 10:01:37
"CP/LA/43","LA",43,"T/LA/674",1,"Suspect's","9/2/1630",9/2/1630 00:00:00,"Privy Council",,,,0,"LEM",17/8/2001 10:06:00,"LEM",17/8/2001 10:06:40
"CP/LA/44","LA",44,"T/LA/675",1,"Suspect's","22/12/1629",22/12/1629 00:00:00,"Privy Council",,,,0,"LEM",17/8/2001 10:12:44,"LEM",17/8/2001 10:13:08
"CP/LA/45","LA",45,"T/LA/675",1,"Suspect's","9/2/1630",9/2/1630 00:00:00,"Privy Council",,,,0,"LEM",17/8/2001 10:15:15,"LEM",30/8/2001 11:03:14
"CP/LA/46","LA",46,"T/LA/720",1,"Suspect's","10/12/1629",10/12/1629 00:00:00,"Privy Council",,,,0,"LEM",17/8/2001 14:47:47,"LEM",17/8/2001 14:48:27
"CP/LA/47","LA",47,"T/LA/721",1,"Suspect's","10/12/1629",10/12/1629 00:00:00,"Privy Council",,,,0,"LEM",17/8/2001 15:00:16,"LEM",17/8/2001 15:00:25
"CP/LA/48","LA",48,"T/LA/726",1,"Family member","9/6/1629",9/6/1629 00:00:00,"Privy Council","AF/LA/224",,,0,"LEM",29/8/2001 12:27:01,"LEM",29/8/2001 12:35:50
"CP/LA/49","LA",49,"T/LA/727",1,"Family member","9/6/1629",9/6/1629 00:00:00,"Privy Council","AF/LA/225",,,0,"LEM",29/8/2001 12:31:51,"LEM",29/8/2001 12:33:44
"CP/LA/5","LA",5,"T/LA/98",1,"Suspect's","5/7/1631",5/7/1631 00:00:00,"Privy Council",,,,0,"LEM",14/6/2001 15:53:47,"LEM",14/6/2001 15:54:12
"CP/LA/50","LA",50,"T/LA/771",1,"Suspect's","3/7/1671",3/7/1671 00:00:00,"High Court",,,,0,"LEM",5/9/2001 12:06:07,"LEM",5/9/2001 12:06:26
"CP/LA/51","LA",51,"T/LA/772",1,"Suspect's","3/7/1671",3/7/1671 00:00:00,"High Court",,,,0,"LEM",5/9/2001 12:09:27,"LEM",5/9/2001 12:09:35
"CP/LA/52","LA",52,"T/LA/773",1,"Suspect's","10/7/1671",10/7/1671 00:00:00,"High Court",,,,0,"LEM",5/9/2001 12:15:16,"LEM",5/9/2001 12:15:26
"CP/LA/53","LA",53,"T/LA/774",1,"Suspect's","24/7/1671",24/7/1671 00:00:00,"High Court",,,,0,"LEM",5/9/2001 12:32:36,"LEM",5/9/2001 12:32:45
