"HLA/JO/10","JO",10,"T/JO/342","Bishop",1,"17/5/1632",17/5/1632 00:00:00,"jhm",4/7/2001 13:35:08,"jhm",4/7/2001 13:35:18
"HLA/JO/100","JO",100,"T/JO/1689","Presbytery",1,"22/2/1603",22/2/1603 00:00:00,"jhm",2/8/2002 11:37:27,"jhm",2/8/2002 11:38:18
"HLA/JO/101","JO",101,"T/JO/1690","Presbytery",1,"22/12/1603",22/12/1603 00:00:00,"jhm",2/8/2002 11:50:21,"jhm",2/8/2002 11:50:34
"HLA/JO/102","JO",102,"T/JO/1691","Presbytery",1,"2/12/1603",2/12/1603 00:00:00,"jhm",2/8/2002 11:53:29,"jhm",2/8/2002 11:53:42
"HLA/JO/103","JO",103,"T/JO/1692","Presbytery",1,"15/12/1603",15/12/1603 00:00:00,"jhm",2/8/2002 11:55:54,"jhm",2/8/2002 11:57:56
"HLA/JO/104","JO",104,"T/JO/1693","Presbytery",1,"12/1/1604",12/1/1604 00:00:00,"jhm",2/8/2002 12:02:54,"jhm",2/8/2002 12:03:02
"HLA/JO/105","JO",105,"T/JO/1694","Presbytery",1,"21/7/1675",21/7/1675 00:00:00,"jhm",2/8/2002 14:12:56,"jhm",2/8/2002 14:13:08
"HLA/JO/106","JO",106,"T/JO/1694","Local magistrate",1,"15/9/1675",15/9/1675 00:00:00,"jhm",2/8/2002 14:13:08,"jhm",2/8/2002 14:13:46
"HLA/JO/11","JO",11,"T/JO/343","Bishop",1,"24/1/1633",24/1/1633 00:00:00,"jhm",4/7/2001 13:46:56,"jhm",4/7/2001 13:47:09
"HLA/JO/118","JO",118,"T/JO/1951","Presbytery",1,"12/1663",1/12/1663 00:00:00,"jhm",4/9/2002 10:02:23,"jhm",4/9/2002 10:02:36
"HLA/JO/119","JO",119,"T/JO/1952","Presbytery",1,"12/1663",1/12/1663 00:00:00,"jhm",4/9/2002 10:08:20,"jhm",4/9/2002 10:08:27
"HLA/JO/12","JO",12,"T/JO/369","Synod",1,"6/11/1649",6/11/1649 00:00:00,"jhm",9/7/2001 10:51:40,"jhm",9/7/2001 10:52:05
"HLA/JO/13","JO",13,"T/JO/433","Presbytery",1,"10/9/1657",10/9/1657 00:00:00,"jhm",17/7/2001 15:27:30,"jhm",17/7/2001 15:27:44
"HLA/JO/14","JO",14,"T/JO/433","Bailie",1,"16/11/1657",16/11/1657 00:00:00,"jhm",17/7/2001 15:55:17,"jhm",13/11/2002 14:13:24
"HLA/JO/15","JO",15,"T/JO/510","Presbytery",1,"23/12/1612",23/12/1612 00:00:00,"jhm",23/7/2001 12:16:32,"jhm",23/7/2001 12:16:45
"HLA/JO/16","JO",16,"T/JO/511","Local sheriff",1,"10/1/1616",10/1/1616 00:00:00,"jhm",23/7/2001 13:42:36,"jhm",23/7/2001 13:43:00
"HLA/JO/17","JO",17,"T/LA/354","Bailie",1,"5/6/1622",5/6/1622 00:00:00,"jhm",23/7/2001 15:43:01,"jhm",13/11/2002 14:13:38
"HLA/JO/18","JO",18,"T/LA/353","Bailie",1,"5/6/1622",5/6/1622 00:00:00,"jhm",23/7/2001 15:48:35,"jhm",13/11/2002 14:13:53
"HLA/JO/19","JO",19,"T/JO/574","Burgh Council",1,"17/5/1649",17/5/1649 00:00:00,"jhm",31/7/2001 12:08:50,"jhm",31/7/2001 12:09:17
"HLA/JO/20","JO",20,"T/JO/593","Presbytery",1,"5/1692",1/5/1692 00:00:00,"jhm",13/8/2001 11:27:34,"jhm",13/8/2001 11:28:40
"HLA/JO/21","JO",21,"T/JO/639","Local sheriff",1,"31/12/1661",31/12/1661 00:00:00,"jhm",29/8/2001 11:00:56,"jhm",29/8/2001 11:01:17
"HLA/JO/22","JO",22,"T/JO/795","Local magistrate",1,"3/10/1649",3/10/1649 00:00:00,"jhm",6/9/2001 12:40:15,"jhm",6/9/2001 12:40:40
"HLA/JO/220","JO",220,"T/JO/1468","Archbishop",1,,,"jhm",17/9/2002 11:51:15,"jhm",17/9/2002 11:51:23
"HLA/JO/221","JO",221,"T/LA/154","Archbishop",1,,,"jhm",2/10/2002 14:41:29,"jhm",2/10/2002 14:41:32
"HLA/JO/222","JO",222,"T/LA/1096","Presbytery",1,,,"jhm",3/10/2002 16:05:49,"jhm",3/10/2002 16:05:53
"HLA/JO/224","JO",224,"T/LA/2001","Presbytery",1,,,"jhm",23/10/2002 12:11:32,"jhm",23/10/2002 12:11:36
"HLA/JO/225","JO",225,"T/LA/2000","Presbytery",1,,,"jhm",23/10/2002 12:14:23,"jhm",23/10/2002 12:14:26
"HLA/JO/226","JO",226,"T/LA/1998","Presbytery",1,,,"jhm",23/10/2002 12:15:51,"jhm",23/10/2002 12:15:55
"HLA/JO/227","JO",227,"T/LA/1999","Presbytery",1,,,"jhm",23/10/2002 12:17:38,"jhm",23/10/2002 12:17:41
"HLA/JO/228","JO",228,"T/LA/1997","Presbytery",1,,,"jhm",23/10/2002 12:19:37,"jhm",23/10/2002 12:19:41
"HLA/JO/229","JO",229,"T/JO/366","Presbytery",1,,,"jhm",23/10/2002 12:38:54,"jhm",23/10/2002 12:38:59
"HLA/JO/23","JO",23,"T/JO/796","Local laird",1,"4/1647",1/4/1647 00:00:00,"jhm",7/9/2001 11:42:48,"jhm",7/9/2001 12:08:42
"HLA/JO/230","JO",230,"T/LA/2055","Presbytery",1,,,"jhm",23/10/2002 13:58:38,"jhm",23/10/2002 13:58:43
"HLA/JO/231","JO",231,"T/JO/538","Presbytery",1,,,"jhm",23/10/2002 14:47:16,"jhm",23/10/2002 14:47:20
"HLA/JO/232","JO",232,"T/JO/534","Local laird",1,"27/2/1650",27/2/1650 00:00:00,"jhm",24/10/2002 12:50:10,"jhm",24/10/2002 12:50:32
"HLA/JO/233","JO",233,"T/JO/1396","Presbytery",1,,,"jhm",25/10/2002 16:39:42,"jhm",25/10/2002 16:39:47
